Config,Intent,Count,Pct
Local (8B),HOLD_SAFE,1,1.7
Local (8B),CONTINUE_ASSIGNED_TASK,25,41.7
Local (8B),SEARCH_NEXT_PRIORITY,34,56.7
Local (8B),INSPECT_TARGET_REPORT,0,0.0
Local (8B),COMMS_REACQUIRE,0,0.0
Local (8B),RETURN_TO_BASE,0,0.0
Local (8B),ABORT_AND_SAFE,0,0.0
Pi Edge (1B),HOLD_SAFE,5,15.2
Pi Edge (1B),CONTINUE_ASSIGNED_TASK,4,12.1
Pi Edge (1B),SEARCH_NEXT_PRIORITY,24,72.7
Pi Edge (1B),INSPECT_TARGET_REPORT,0,0.0
Pi Edge (1B),COMMS_REACQUIRE,0,0.0
Pi Edge (1B),RETURN_TO_BASE,0,0.0
Pi Edge (1B),ABORT_AND_SAFE,0,0.0
